sample_id,variety,region,quality_score,quality_category,ripeness_index,ripeness_category,sugar_content_brix,firmness_kgf,length_cm
32,Plantain,Costa Rica,1.04,Good,6.43,Turning,17.46,2.2,15.52
33,Burro,India,2.71,Processing,4.76,Overripe,21.61,4.76,24.3
34,Red Dacca,Costa Rica,3.63,Processing,5.35,Green,15.58,1.0,14.83
35,Red Dacca,Ecuador,3.51,Processing,1.56,Turning,20.63,1.49,29.53
36,Plantain,Honduras,2.88,Processing,2.53,Ripe,15.66,1.5,22.75
37,Fehi,Brazil,3.02,Good,6.3,Turning,20.25,3.25,24.0
38,Fehi,Brazil,1.13,Good,1.87,Overripe,21.5,4.2,22.63
39,Plantain,Costa Rica,2.97,Processing,3.87,Ripe,21.95,0.7,16.34
40,Red Dacca,Guatemala,1.76,Good,3.47,Turning,21.8,1.03,16.57
41,Red Dacca,Ecuador,1.02,Processing,4.46,Green,15.79,4.74,12.8
42,Red Dacca,Brazil,2.75,Good,6.43,Turning,16.77,3.4,13.13
43,Burro,Ecuador,1.78,Good,1.35,Overripe,16.71,1.18,28.54
44,Fehi,Ecuador,3.83,Processing,6.01,Ripe,23.98,1.89,22.45
45,Manzano,India,1.24,Good,4.02,Overripe,20.51,2.08,12.02
46,Fehi,Guatemala,2.26,Good,1.56,Green,20.81,0.6,22.4
47,Plantain,Colombia,2.62,Processing,4.85,Overripe,23.2,1.25,13.42
48,Red Dacca,Costa Rica,2.21,Processing,1.79,Turning,24.31,3.61,13.03
49,Plantain,India,2.91,Processing,6.91,Overripe,23.85,3.14,11.81
50,Burro,India,2.09,Good,4.75,Overripe,15.17,3.52,17.57
51,Fehi,India,2.89,Premium,4.71,Ripe,23.96,2.38,28.25
52,Burro,India,2.17,Good,4.16,Green,19.91,2.99,18.3
53,Red Dacca,Costa Rica,2.43,Processing,3.14,Ripe,24.93,4.97,22.45
54,Red Dacca,Honduras,3.03,Good,1.82,Overripe,22.78,3.0,20.88
55,Manzano,Guatemala,2.82,Good,4.34,Overripe,18.63,3.65,25.16
56,Manzano,Brazil,3.48,Processing,2.71,Turning,22.65,1.29,21.47
57,Manzano,Brazil,3.9,Processing,4.63,Ripe,15.02,4.39,22.16
58,Fehi,Ecuador,3.44,Processing,5.26,Green,24.9,1.87,29.64
59,Fehi,Guatemala,3.44,Processing,4.85,Green,15.64,4.17,28.93
60,Manzano,Guatemala,2.3,Processing,5.25,Overripe,24.0,4.82,22.26
61,Manzano,Brazil,2.86,Good,4.85,Ripe,23.77,4.73,27.37
62,Plantain,Ecuador,3.63,Premium,4.39,Ripe,22.63,3.92,19.09
63,Red Dacca,India,3.39,Good,1.57,Turning,24.4,1.62,23.65
64,Plantain,Costa Rica,3.87,Good,3.57,Overripe,19.01,2.72,22.81
65,Red Dacca,Costa Rica,1.47,Processing,4.22,Ripe,19.57,1.64,12.08
66,Plantain,Costa Rica,1.31,Good,2.23,Overripe,15.99,4.19,29.01
67,Red Dacca,Honduras,1.07,Good,2.05,Ripe,24.11,1.78,13.59
68,Burro,Colombia,1.79,Good,6.52,Turning,22.26,4.43,14.23
69,Red Dacca,Guatemala,3.54,Premium,1.92,Ripe,23.89,1.31,16.18
70,Manzano,India,1.09,Processing,2.4,Overripe,18.64,4.51,22.06
71,Fehi,Brazil,3.35,Premium,3.97,Turning,19.98,2.05,21.44
72,Plantain,Ecuador,2.51,Good,2.75,Ripe,15.93,2.33,28.84
73,Manzano,Ecuador,1.25,Unripe,1.87,Ripe,15.89,4.16,19.35
74,Plantain,Costa Rica,2.45,Premium,3.96,Ripe,23.21,1.2,23.77
75,Fehi,Brazil,3.3,Processing,5.57,Overripe,21.91,2.36,25.63
76,Burro,Honduras,2.5,Processing,1.58,Ripe,18.23,4.35,12.18
77,Burro,Brazil,2.39,Good,2.33,Overripe,22.44,0.6,23.28
78,Burro,Colombia,3.06,Good,4.55,Turning,24.49,4.53,21.61
79,Red Dacca,Honduras,1.17,Good,2.61,Green,22.53,3.32,16.35
80,Red Dacca,Colombia,1.19,Good,3.18,Ripe,21.82,3.57,11.23
81,Red Dacca,Honduras,3.97,Processing,1.59,Turning,18.83,2.87,14.63
82,Red Dacca,Honduras,1.59,Good,6.78,Turning,22.21,1.45,18.64
83,Fehi,Honduras,3.93,Unripe,6.01,Ripe,20.31,3.73,13.85
84,Burro,Honduras,2.7,Processing,2.52,Turning,17.54,3.0,26.73
85,Red Dacca,Brazil,1.2,Good,5.4,Turning,22.38,4.0,27.73
86,Burro,Honduras,2.63,Good,3.54,Ripe,16.25,3.05,14.54
87,Burro,Ecuador,2.5,Processing,5.22,Green,18.15,3.35,21.64
88,Plantain,Guatemala,3.56,Processing,4.31,Turning,16.84,3.42,22.47
89,Plantain,Brazil,1.98,Premium,1.97,Overripe,18.97,1.85,26.42
90,Plantain,Brazil,1.43,Good,1.1,Overripe,16.78,3.65,19.63
91,Manzano,Honduras,2.2,Premium,5.93,Green,24.71,3.04,18.24
92,Red Dacca,Ecuador,1.65,Good,6.58,Ripe,18.58,4.14,11.75
93,Red Dacca,Colombia,1.79,Processing,1.38,Turning,17.45,3.04,14.78
94,Red Dacca,Costa Rica,2.45,Good,6.56,Turning,22.69,1.27,15.83
95,Burro,Colombia,1.64,Processing,3.39,Turning,18.84,3.61,19.54
96,Manzano,Honduras,2.37,Good,6.47,Turning,24.54,2.98,18.04
97,Manzano,India,3.31,Processing,1.75,Overripe,18.67,2.12,11.08
98,Red Dacca,Ecuador,2.42,Good,6.4,Green,21.78,3.61,20.2
99,Red Dacca,Costa Rica,3.35,Premium,2.65,Green,19.23,4.31,13.47
100,Plantain,Brazil,3.21,Processing,2.35,Ripe,23.61,3.56,10.67
101,Manzano,Honduras,2.59,Premium,5.31,Turning,15.82,4.76,17.57
102,Plantain,Honduras,3.69,Good,5.43,Ripe,19.69,3.19,11.24
103,Red Dacca,Guatemala,3.62,Processing,6.95,Turning,21.24,2.12,19.66
104,Manzano,Costa Rica,2.41,Processing,1.43,Overripe,22.76,4.15,24.18
105,Red Dacca,Ecuador,1.72,Good,1.23,Ripe,19.81,4.22,14.13
106,Red Dacca,Guatemala,3.25,Processing,5.6,Ripe,15.61,1.62,29.09
107,Red Dacca,India,2.87,Processing,6.57,Overripe,16.52,3.68,14.59
108,Plantain,Guatemala,2.8,Processing,3.11,Green,19.05,1.51,29.81
109,Manzano,Guatemala,3.48,Good,6.15,Turning,19.22,3.65,15.4
110,Fehi,Guatemala,3.48,Good,2.06,Overripe,21.3,1.29,13.31
111,Red Dacca,Honduras,3.83,Processing,5.67,Ripe,22.08,4.1,16.28
112,Burro,Colombia,2.72,Good,3.27,Ripe,20.59,3.13,12.73
113,Red Dacca,Guatemala,1.39,Processing,1.88,Turning,21.3,3.18,21.93
114,Red Dacca,Costa Rica,1.2,Good,3.84,Turning,16.95,3.89,19.01
115,Burro,Honduras,1.78,Good,6.59,Overripe,17.99,3.38,21.67
116,Red Dacca,Ecuador,2.99,Good,4.07,Turning,20.87,4.96,15.08
117,Red Dacca,Honduras,1.06,Premium,5.37,Ripe,20.9,0.82,28.23
118,Burro,Colombia,3.11,Good,3.85,Green,15.51,1.25,26.16
119,Fehi,India,1.73,Good,5.29,Turning,21.95,3.48,26.12
120,Plantain,Honduras,2.68,Processing,3.0,Ripe,23.77,3.59,19.16
121,Red Dacca,Ecuador,3.13,Good,2.22,Turning,18.71,1.62,29.77
122,Burro,Brazil,1.06,Processing,1.22,Ripe,16.82,1.62,24.78
123,Red Dacca,Costa Rica,2.96,Processing,3.45,Ripe,15.21,2.54,16.44
124,Manzano,Costa Rica,1.65,Premium,2.9,Ripe,19.86,0.82,28.88
125,Manzano,Brazil,1.53,Processing,1.15,Turning,22.11,3.71,22.75
126,Red Dacca,Honduras,1.14,Processing,6.62,Green,15.14,1.61,15.66
127,Fehi,Colombia,1.37,Premium,4.42,Turning,23.54,1.35,14.84
128,Burro,Costa Rica,3.35,Processing,4.33,Turning,23.28,4.04,16.78
129,Red Dacca,Costa Rica,1.55,Unripe,6.47,Overripe,21.22,3.42,20.65
130,Red Dacca,Guatemala,1.89,Good,1.49,Overripe,20.74,1.7,16.81
131,Red Dacca,Honduras,1.74,Processing,6.38,Turning,22.99,2.11,13.56
132,Manzano,Costa Rica,3.71,Good,1.42,Overripe,22.7,2.18,28.47
133,Red Dacca,Ecuador,2.43,Processing,2.69,Overripe,19.59,3.44,24.09
134,Red Dacca,Costa Rica,1.72,Processing,2.0,Turning,18.15,4.56,29.68
135,Manzano,Costa Rica,2.83,Good,3.08,Overripe,19.16,2.23,23.43
136,Burro,Brazil,2.54,Good,2.23,Ripe,23.32,2.34,16.48
137,Red Dacca,Ecuador,2.88,Good,1.36,Overripe,15.75,4.78,29.67
138,Manzano,Costa Rica,3.33,Good,4.36,Overripe,17.51,2.44,13.0
139,Fehi,India,1.07,Good,1.09,Turning,24.63,1.34,12.5
140,Red Dacca,Honduras,1.19,Processing,5.77,Overripe,18.4,2.62,15.69
141,Red Dacca,Costa Rica,2.23,Unripe,3.71,Green,24.49,2.79,27.96
142,Burro,Colombia,3.85,Processing,4.73,Ripe,23.63,4.77,15.43
143,Red Dacca,India,2.93,Good,1.63,Overripe,21.72,0.79,12.38
144,Burro,Guatemala,1.18,Processing,1.38,Ripe,15.63,2.17,26.76
145,Manzano,Colombia,2.51,Processing,4.51,Overripe,23.85,0.97,28.35
146,Plantain,Honduras,1.67,Good,5.92,Ripe,18.92,1.95,25.95
147,Plantain,Brazil,3.35,Processing,1.75,Green,24.3,4.33,13.17
148,Plantain,Ecuador,1.88,Good,4.78,Ripe,22.0,4.11,17.22
149,Plantain,Costa Rica,3.18,Processing,4.1,Overripe,21.24,2.06,19.32
150,Manzano,Colombia,2.47,Premium,6.26,Ripe,23.4,3.62,15.76
151,Burro,Costa Rica,3.52,Processing,6.82,Ripe,15.78,4.36,28.11
152,Fehi,Honduras,1.83,Processing,6.78,Green,18.38,2.23,21.6
153,Red Dacca,Brazil,2.7,Unripe,1.46,Green,17.6,2.57,17.62
154,Fehi,Guatemala,2.75,Good,3.27,Ripe,20.85,1.18,18.24
155,Plantain,Honduras,3.7,Processing,6.93,Turning,24.57,2.14,18.61
156,Red Dacca,Costa Rica,3.01,Processing,4.07,Green,18.86,3.22,17.95
157,Plantain,Honduras,1.07,Premium,2.83,Turning,20.23,3.12,12.68
158,Fehi,Brazil,3.48,Unripe,3.54,Turning,23.23,3.25,23.95
159,Manzano,Honduras,2.91,Premium,2.22,Ripe,19.65,3.47,16.31
160,Burro,Ecuador,1.82,Processing,5.37,Ripe,17.74,1.27,26.82
161,Manzano,Brazil,1.58,Good,3.56,Turning,18.79,1.83,26.19
162,Plantain,Costa Rica,3.55,Good,3.89,Turning,18.31,2.37,16.11
163,Manzano,India,1.09,Premium,4.73,Overripe,22.23,2.42,11.48
164,Red Dacca,Honduras,1.11,Processing,3.51,Turning,15.47,3.16,24.46
165,Fehi,Colombia,3.96,Good,1.61,Turning,22.45,2.95,16.2
166,Manzano,Ecuador,2.58,Good,1.26,Turning,17.34,2.27,20.69
167,Manzano,Costa Rica,3.95,Good,1.22,Ripe,23.5,1.49,28.13
168,Plantain,Brazil,1.11,Processing,1.8,Green,18.36,3.71,16.75
169,Burro,Ecuador,2.55,Processing,3.25,Turning,22.43,1.8,20.12
170,Red Dacca,Guatemala,2.62,Unripe,1.08,Overripe,18.56,3.18,26.06
171,Red Dacca,India,1.47,Good,1.35,Turning,24.07,4.55,13.74
172,Red Dacca,Brazil,1.96,Processing,3.12,Overripe,16.34,3.86,25.96
173,Manzano,Ecuador,2.3,Processing,4.27,Overripe,17.71,3.01,26.87
174,Plantain,Guatemala,3.35,Good,3.31,Turning,23.91,1.06,28.62
175,Burro,India,2.0,Unripe,5.5,Overripe,23.84,3.19,16.89
176,Burro,India,3.18,Processing,3.09,Ripe,22.91,3.53,11.31
177,Red Dacca,India,3.55,Processing,2.51,Ripe,15.54,3.06,24.18
178,Red Dacca,Ecuador,1.89,Good,4.48,Overripe,20.18,1.34,28.15
179,Fehi,India,2.01,Processing,5.34,Ripe,21.55,2.36,23.81
180,Plantain,Brazil,3.16,Processing,2.5,Ripe,23.54,3.77,29.46
181,Burro,Guatemala,1.4,Processing,4.41,Ripe,22.59,0.73,26.38
182,Red Dacca,India,2.96,Good,1.6,Overripe,21.16,2.33,10.92
183,Fehi,Brazil,1.11,Good,5.67,Green,17.43,3.68,12.63
184,Plantain,Colombia,2.54,Good,1.05,Green,22.47,1.93,17.45
185,Plantain,Brazil,1.89,Processing,6.03,Turning,18.19,2.99,15.11
186,Plantain,India,1.35,Good,5.21,Turning,15.67,1.73,12.09
187,Red Dacca,Costa Rica,2.83,Processing,3.04,Ripe,17.04,3.53,17.77
188,Manzano,Honduras,1.43,Processing,1.01,Turning,15.0,3.03,24.4
189,Plantain,Costa Rica,1.83,Processing,6.92,Turning,22.29,4.6,13.78
190,Red Dacca,Honduras,2.13,Good,6.19,Green,22.13,2.68,13.89
191,Manzano,Costa Rica,2.73,Premium,6.45,Turning,22.35,4.02,18.26
192,Manzano,Ecuador,1.53,Good,2.71,Overripe,21.16,3.46,17.57
193,Manzano,Costa Rica,2.0,Good,1.82,Green,24.71,1.15,13.48
194,Burro,Honduras,2.23,Processing,4.37,Overripe,16.84,2.27,17.14
195,Plantain,Colombia,2.93,Premium,6.2,Ripe,20.32,3.29,20.84
196,Fehi,Ecuador,2.92,Premium,6.0,Ripe,23.14,1.82,14.17
197,Plantain,India,1.72,Premium,1.89,Turning,18.63,2.85,11.56
198,Burro,India,1.97,Premium,3.92,Turning,16.02,4.61,14.4
199,Plantain,India,3.22,Premium,3.03,Overripe,21.63,1.78,17.09
200,Red Dacca,Honduras,1.46,Premium,2.04,Ripe,22.4,3.96,24.73
201,Fehi,Colombia,1.1,Premium,5.5,Ripe,21.34,3.31,24.21
202,Manzano,Guatemala,1.46,Processing,6.41,Turning,19.29,3.56,27.24
203,Red Dacca,Honduras,1.47,Good,6.3,Overripe,20.33,2.84,16.3
204,Manzano,Colombia,2.87,Processing,6.07,Green,19.97,2.53,10.69
205,Manzano,Brazil,1.23,Premium,2.6,Turning,24.51,1.7,13.95
206,Manzano,Colombia,1.76,Processing,5.83,Ripe,15.43,3.33,20.3
207,Plantain,India,3.07,Premium,6.37,Turning,24.82,4.84,17.16
208,Fehi,Costa Rica,2.52,Good,2.05,Ripe,21.36,4.14,11.15
209,Manzano,Colombia,3.79,Processing,6.86,Overripe,16.15,3.91,16.07
210,Manzano,Guatemala,2.82,Premium,5.5,Green,15.03,4.84,19.2
211,Red Dacca,India,2.37,Premium,6.71,Green,16.83,1.94,18.22
212,Fehi,Ecuador,1.81,Good,2.23,Ripe,24.4,4.37,23.61
213,Red Dacca,Colombia,1.53,Good,4.04,Overripe,22.8,1.88,14.07
214,Manzano,Brazil,1.31,Processing,6.98,Turning,16.13,1.23,24.71
215,Red Dacca,Brazil,1.14,Premium,2.57,Overripe,18.36,1.26,16.48
216,Manzano,Guatemala,2.62,Good,3.56,Overripe,16.26,4.84,17.5
217,Red Dacca,Ecuador,3.23,Good,5.9,Ripe,19.42,4.58,26.1
218,Fehi,Guatemala,3.57,Premium,3.25,Ripe,19.58,4.61,14.38
219,Manzano,Guatemala,2.28,Processing,6.83,Ripe,16.14,0.52,13.93
220,Manzano,Honduras,2.22,Good,3.16,Turning,17.71,4.62,22.77
221,Manzano,Honduras,3.85,Processing,1.61,Green,23.1,1.65,18.99
222,Manzano,Brazil,1.13,Processing,6.69,Green,19.76,1.62,22.23
223,Red Dacca,Costa Rica,1.62,Premium,5.82,Ripe,24.69,4.83,13.73
224,Fehi,Brazil,2.63,Good,5.01,Green,23.78,2.78,22.72
225,Fehi,India,1.36,Good,3.48,Ripe,16.12,4.0,29.39
226,Plantain,Ecuador,3.64,Good,4.28,Turning,18.55,2.11,24.87
227,Fehi,Ecuador,3.85,Premium,3.16,Turning,17.19,4.23,19.66
228,Manzano,Costa Rica,3.84,Good,6.07,Turning,23.58,1.55,13.03
229,Fehi,Guatemala,3.41,Good,4.52,Overripe,16.95,4.26,26.81
230,Burro,Ecuador,2.32,Processing,3.68,Green,20.66,3.95,23.07
231,Plantain,Honduras,2.34,Good,2.71,Green,24.28,4.27,19.57
232,Manzano,Guatemala,2.15,Processing,5.36,Overripe,17.26,0.71,18.96
233,Fehi,Honduras,1.36,Premium,4.74,Ripe,15.89,4.33,19.7
234,Manzano,Ecuador,3.32,Good,6.74,Green,20.2,2.09,16.13
235,Manzano,India,2.66,Processing,4.49,Turning,19.27,4.79,17.45
236,Plantain,Colombia,2.39,Processing,1.16,Ripe,23.22,3.58,23.97
237,Burro,Ecuador,2.95,Processing,5.89,Ripe,16.01,4.34,26.68
238,Fehi,India,3.33,Processing,1.78,Overripe,16.38,1.18,10.49
239,Manzano,Guatemala,3.89,Processing,2.48,Overripe,19.79,1.29,15.28
240,Red Dacca,India,3.94,Processing,4.69,Green,15.07,3.91,12.46
241,Red Dacca,Guatemala,3.75,Good,1.25,Turning,20.65,1.45,25.78
242,Fehi,Honduras,1.65,Unripe,5.0,Turning,24.69,2.18,25.59
243,Plantain,Honduras,1.8,Good,4.31,Ripe,15.57,3.63,11.09
244,Burro,Honduras,1.98,Good,2.33,Overripe,20.33,0.76,14.19
245,Red Dacca,Colombia,2.91,Processing,2.67,Turning,18.72,4.17,19.26
246,Manzano,Colombia,3.89,Processing,2.43,Turning,21.18,3.27,13.37
247,Red Dacca,Colombia,1.14,Good,3.25,Turning,20.83,4.53,21.0
248,Red Dacca,Ecuador,1.29,Processing,4.19,Green,19.74,4.34,11.87
249,Burro,Colombia,3.4,Premium,4.53,Ripe,24.96,0.73,22.22
250,Red Dacca,Costa Rica,2.73,Processing,3.97,Overripe,24.69,4.13,24.99
251,Manzano,India,2.09,Good,3.67,Turning,21.94,1.53,20.36
252,Fehi,Brazil,2.3,Good,4.98,Green,19.8,4.57,29.72
253,Fehi,Costa Rica,3.72,Premium,6.96,Overripe,16.76,3.94,19.4
254,Manzano,India,2.06,Good,2.26,Ripe,16.47,1.06,14.18
255,Fehi,Honduras,1.08,Processing,4.77,Overripe,15.48,4.44,25.92
256,Manzano,Ecuador,3.43,Unripe,2.6,Overripe,22.56,4.11,22.83
257,Plantain,Guatemala,1.46,Good,1.79,Overripe,17.99,4.02,17.94
258,Plantain,Honduras,3.44,Processing,2.64,Green,19.25,4.0,12.08
259,Fehi,Colombia,1.47,Good,4.24,Green,16.05,0.87,16.67
260,Fehi,Ecuador,3.56,Good,4.79,Turning,20.25,4.44,27.33
261,Burro,Brazil,2.36,Good,2.15,Turning,17.61,2.04,13.83
262,Manzano,Colombia,3.29,Good,2.43,Ripe,24.57,3.64,27.63
263,Red Dacca,Colombia,3.39,Processing,2.55,Green,24.59,1.35,22.04
264,Plantain,Costa Rica,1.56,Processing,5.75,Turning,24.95,4.57,25.02
265,Plantain,Ecuador,3.09,Good,2.16,Green,24.91,4.88,28.36
266,Burro,Colombia,1.19,Processing,5.0,Ripe,23.87,1.61,15.52
267,Burro,Guatemala,1.89,Good,2.16,Overripe,21.31,4.05,14.57
268,Manzano,Guatemala,3.91,Processing,1.33,Overripe,23.86,4.93,25.19
269,Fehi,Honduras,3.14,Unripe,6.03,Ripe,23.1,3.89,21.28
270,Red Dacca,Colombia,1.07,Premium,1.94,Turning,24.91,0.85,19.68
271,Fehi,Costa Rica,1.42,Processing,3.62,Turning,17.02,4.23,22.92
272,Fehi,Ecuador,2.31,Processing,1.57,Ripe,20.14,2.5,13.74
273,Plantain,Ecuador,3.12,Good,2.17,Ripe,18.1,1.1,13.45
274,Red Dacca,India,2.11,Good,3.1,Ripe,16.71,2.02,20.07
275,Red Dacca,Ecuador,2.97,Good,1.13,Overripe,22.29,4.18,11.69
276,Fehi,India,1.43,Good,4.13,Turning,19.01,1.47,17.29
277,Fehi,Honduras,3.78,Processing,3.84,Overripe,21.39,1.31,16.23
278,Burro,Costa Rica,3.83,Premium,2.02,Green,22.12,2.03,28.52
279,Manzano,Costa Rica,2.98,Processing,4.59,Ripe,16.31,0.91,14.96
280,Burro,Colombia,2.0,Good,3.45,Turning,22.84,0.72,15.35
281,Manzano,India,3.22,Good,1.56,Turning,17.58,4.86,10.32
282,Burro,Honduras,2.36,Processing,5.75,Turning,18.04,4.42,18.89
283,Manzano,Colombia,1.29,Processing,4.96,Ripe,22.6,4.81,22.44
284,Plantain,Ecuador,1.7,Good,2.2,Ripe,21.06,2.66,22.94
285,Plantain,Colombia,2.15,Premium,1.47,Ripe,20.14,1.79,13.71
286,Burro,Guatemala,3.08,Good,6.64,Overripe,24.76,2.38,23.98
287,Fehi,Colombia,2.6,Processing,2.65,Overripe,24.58,2.39,27.14
288,Fehi,Costa Rica,1.44,Good,5.47,Ripe,17.58,2.17,23.74
289,Burro,Guatemala,3.47,Premium,3.92,Overripe,23.96,2.83,21.81
290,Plantain,Guatemala,3.89,Premium,3.44,Turning,17.93,3.35,25.75
291,Fehi,Costa Rica,3.99,Good,1.28,Ripe,16.6,4.81,29.53
292,Red Dacca,Honduras,1.53,Premium,2.91,Overripe,20.27,1.51,23.7
293,Plantain,Costa Rica,1.17,Processing,5.98,Green,22.71,1.31,10.85
294,Fehi,Costa Rica,2.59,Premium,6.5,Turning,17.0,3.49,21.22
295,Manzano,Honduras,1.11,Processing,5.23,Ripe,16.07,1.07,20.96
296,Fehi,Costa Rica,1.13,Processing,5.4,Ripe,23.19,3.95,26.72
297,Burro,Ecuador,2.57,Good,5.09,Overripe,18.13,3.57,11.94
298,Red Dacca,Costa Rica,1.31,Processing,2.55,Green,22.09,3.58,24.01
299,Fehi,Guatemala,2.82,Good,6.69,Overripe,24.32,4.36,22.54
300,Fehi,Honduras,1.05,Processing,5.81,Ripe,22.86,2.97,17.32
301,Red Dacca,Brazil,2.7,Good,6.78,Turning,24.89,3.5,27.65
302,Burro,Colombia,2.8,Processing,3.51,Ripe,15.94,2.24,25.69
303,Burro,Ecuador,2.12,Good,2.51,Turning,24.2,2.55,14.93
304,Red Dacca,Guatemala,3.23,Good,1.82,Turning,17.93,3.98,19.52
305,Burro,Ecuador,2.16,Processing,3.93,Ripe,24.16,0.8,23.14
306,Plantain,Costa Rica,3.89,Premium,2.38,Turning,20.84,1.71,20.74
307,Fehi,India,3.53,Unripe,1.15,Green,17.59,0.72,17.95
308,Fehi,Colombia,3.77,Premium,5.54,Turning,20.55,0.7,22.88
309,Fehi,Guatemala,3.49,Premium,6.08,Turning,22.51,2.28,17.35
310,Burro,Guatemala,3.39,Processing,5.42,Green,24.59,2.47,16.63
311,Red Dacca,Costa Rica,2.81,Good,3.37,Overripe,22.36,1.05,21.93
312,Fehi,Colombia,3.71,Processing,4.97,Green,20.73,1.3,16.49
313,Fehi,Guatemala,1.87,Premium,2.77,Turning,18.6,3.5,13.49
314,Burro,Brazil,2.07,Premium,4.86,Green,20.97,2.39,27.04
315,Burro,Costa Rica,1.97,Processing,5.61,Ripe,15.18,4.72,13.3
316,Plantain,Colombia,3.45,Good,1.31,Turning,16.56,3.34,11.38
317,Fehi,Honduras,1.85,Processing,3.59,Overripe,15.37,4.57,17.83
318,Fehi,Brazil,2.65,Processing,6.74,Overripe,17.42,2.06,28.88
319,Red Dacca,Colombia,3.94,Processing,2.09,Overripe,19.0,0.51,16.56
320,Manzano,India,3.8,Good,2.16,Overripe,15.08,3.73,14.42
321,Red Dacca,Colombia,2.67,Processing,5.31,Turning,23.66,2.13,16.37
322,Fehi,Ecuador,1.49,Good,4.13,Overripe,19.45,3.41,19.51
323,Plantain,Costa Rica,1.99,Processing,4.83,Ripe,24.78,2.31,19.53
324,Plantain,India,2.78,Good,4.65,Turning,17.09,1.01,21.17
325,Fehi,Guatemala,2.96,Premium,5.37,Turning,20.44,3.87,27.61
326,Fehi,India,3.2,Good,1.13,Turning,24.0,1.42,13.27
327,Manzano,Ecuador,3.52,Good,3.94,Overripe,24.04,4.7,29.25
328,Red Dacca,India,2.06,Processing,3.89,Turning,17.91,1.38,11.09
329,Manzano,Colombia,2.57,Good,4.89,Overripe,17.06,4.18,23.69
330,Red Dacca,Guatemala,1.1,Processing,1.89,Ripe,17.62,1.13,29.41
331,Plantain,Ecuador,2.07,Unripe,6.88,Ripe,22.5,2.1,21.04
332,Red Dacca,Guatemala,2.7,Processing,5.18,Overripe,19.81,2.78,27.41
333,Burro,Colombia,3.88,Processing,6.3,Green,15.02,1.65,10.62
334,Fehi,Brazil,1.02,Processing,3.34,Ripe,20.54,1.02,10.26
335,Plantain,Honduras,3.76,Processing,2.63,Turning,18.78,2.63,28.49
336,Red Dacca,Ecuador,1.19,Good,5.1,Overripe,15.95,1.53,12.75
337,Manzano,Costa Rica,2.24,Processing,6.48,Turning,15.52,1.59,23.23
338,Manzano,Costa Rica,2.52,Processing,1.0,Ripe,23.41,1.45,14.84
339,Manzano,Guatemala,1.81,Processing,6.31,Turning,17.15,2.82,20.69
340,Red Dacca,Guatemala,1.53,Unripe,5.6,Overripe,15.36,4.56,15.63
341,Plantain,Colombia,3.06,Processing,5.26,Turning,17.81,4.89,19.34
