sample_id,variety,region,quality_score,quality_category,ripeness_index,ripeness_category,sugar_content_brix,firmness_kgf,length_cm
26,Burro,Honduras,3.73,Good,3.86,Turning,18.12,1.67,22.88
27,Plantain,Guatemala,1.26,Processing,2.09,Ripe,24.43,3.6,24.75
28,Plantain,India,3.57,Processing,3.33,Green,20.88,3.64,21.39
29,Red Dacca,Costa Rica,3.59,Premium,5.0,Overripe,20.81,0.58,16.48
30,Manzano,India,3.32,Processing,5.09,Overripe,15.84,3.63,24.2
31,Burro,Costa Rica,2.42,Processing,3.28,Green,22.86,4.67,23.17
32,Manzano,Ecuador,3.28,Processing,6.74,Turning,22.2,1.77,21.76
33,Red Dacca,Guatemala,2.27,Good,6.62,Turning,23.83,2.93,19.06
34,Plantain,Guatemala,3.25,Processing,1.79,Ripe,22.76,2.31,10.77
35,Red Dacca,Guatemala,3.72,Premium,3.17,Turning,21.29,3.41,18.86
36,Manzano,Brazil,1.94,Premium,3.98,Turning,23.97,2.7,19.85
37,Red Dacca,Guatemala,2.62,Good,2.36,Turning,24.27,1.26,11.31
38,Fehi,Costa Rica,1.55,Good,2.69,Overripe,20.89,4.81,26.41
39,Red Dacca,India,3.13,Processing,4.6,Ripe,23.86,3.17,22.33
40,Red Dacca,Honduras,1.44,Processing,5.66,Turning,24.49,2.21,29.35
41,Burro,Costa Rica,3.97,Processing,1.24,Overripe,24.24,4.87,29.35
42,Plantain,Ecuador,3.66,Good,4.53,Turning,16.92,1.57,17.15
43,Red Dacca,Honduras,3.7,Good,1.24,Turning,15.58,4.34,12.79
44,Red Dacca,Ecuador,1.57,Unripe,6.6,Ripe,17.27,1.38,21.52
45,Burro,Ecuador,3.46,Good,3.1,Green,15.94,2.82,21.76
46,Red Dacca,Costa Rica,1.08,Premium,3.01,Ripe,20.18,3.69,12.94
47,Burro,Guatemala,1.79,Good,6.29,Overripe,23.4,0.8,16.94
48,Fehi,Honduras,1.48,Premium,2.15,Ripe,20.48,1.37,29.22
49,Manzano,Costa Rica,2.52,Processing,5.45,Ripe,16.47,1.23,23.56
50,Fehi,Guatemala,2.16,Premium,5.38,Turning,24.6,3.26,20.47
51,Burro,Costa Rica,1.94,Processing,6.5,Turning,17.0,3.83,28.71
52,Fehi,Colombia,3.89,Premium,6.59,Ripe,15.06,4.72,24.25
53,Fehi,Guatemala,3.87,Processing,4.41,Overripe,18.13,2.48,29.14
54,Burro,India,1.2,Premium,5.25,Overripe,21.31,4.43,15.17
55,Red Dacca,Guatemala,3.31,Good,2.91,Green,18.9,3.51,27.87
56,Burro,Colombia,3.37,Premium,1.82,Turning,22.97,0.55,17.39
57,Manzano,India,1.04,Processing,1.72,Green,20.9,1.1,26.42
58,Burro,Honduras,1.38,Processing,2.96,Green,15.94,1.23,16.04
59,Manzano,Colombia,2.61,Good,2.68,Overripe,15.13,1.98,11.99
60,Fehi,Costa Rica,2.88,Processing,5.02,Ripe,15.16,4.25,23.99
61,Red Dacca,India,2.11,Good,1.33,Overripe,23.85,1.94,18.05
62,Red Dacca,Honduras,1.36,Processing,4.38,Turning,22.64,4.85,10.68
63,Plantain,Honduras,3.99,Processing,4.77,Ripe,15.09,2.57,17.18
64,Burro,Costa Rica,1.53,Premium,6.34,Ripe,16.85,1.82,21.21
65,Burro,Costa Rica,3.25,Processing,2.22,Green,15.19,2.53,17.33
66,Manzano,Honduras,2.82,Processing,2.35,Ripe,16.04,0.7,11.05
67,Red Dacca,Colombia,2.5,Unripe,4.37,Ripe,21.84,2.54,27.7
68,Fehi,Colombia,1.19,Unripe,6.39,Overripe,19.57,3.6,24.69
69,Fehi,Honduras,1.01,Premium,3.24,Overripe,23.9,2.28,21.11
70,Burro,India,3.78,Processing,4.39,Ripe,23.32,0.79,13.61
71,Fehi,Ecuador,3.05,Processing,3.69,Turning,15.65,3.63,16.58
72,Burro,India,1.29,Processing,5.36,Green,21.42,4.25,18.81
73,Plantain,Ecuador,3.16,Processing,2.36,Ripe,23.41,3.98,16.52
74,Burro,India,3.06,Processing,2.64,Overripe,18.93,1.83,14.78
75,Red Dacca,Costa Rica,3.04,Good,4.11,Ripe,23.12,4.72,10.21
76,Red Dacca,Costa Rica,1.63,Good,5.41,Ripe,20.65,3.04,12.93
77,Fehi,Brazil,2.63,Processing,2.02,Overripe,22.38,2.19,25.68
78,Red Dacca,Honduras,2.38,Good,4.67,Ripe,20.01,1.5,25.31
79,Burro,Costa Rica,3.78,Processing,6.81,Turning,16.31,1.81,21.9
80,Manzano,Colombia,1.65,Good,1.03,Green,17.71,2.52,11.38
81,Red Dacca,Costa Rica,2.18,Processing,6.34,Overripe,21.5,1.61,13.38
82,Fehi,Colombia,1.1,Processing,1.54,Turning,22.33,3.85,19.61
83,Manzano,Honduras,3.67,Processing,6.63,Overripe,15.5,2.11,11.53
84,Burro,Ecuador,1.82,Processing,3.19,Overripe,16.74,1.94,26.73
85,Red Dacca,Guatemala,1.54,Good,3.82,Green,18.99,1.0,14.67
86,Fehi,Honduras,2.48,Good,3.65,Turning,19.26,4.75,28.96
87,Manzano,Costa Rica,2.39,Premium,5.55,Turning,24.85,0.63,12.51
88,Plantain,Ecuador,2.4,Good,5.38,Ripe,20.61,2.04,25.94
89,Red Dacca,Ecuador,3.35,Processing,6.05,Overripe,23.29,1.85,26.77
90,Burro,Brazil,1.51,Processing,6.36,Green,23.66,4.53,14.05
91,Manzano,Honduras,1.98,Good,6.97,Green,16.22,3.27,21.01
92,Fehi,Guatemala,1.89,Good,1.11,Turning,24.13,4.75,16.16
93,Manzano,Costa Rica,1.44,Premium,1.56,Turning,21.11,4.05,22.99
94,Burro,Honduras,1.73,Processing,5.33,Green,21.17,0.57,25.21
95,Burro,Honduras,1.95,Processing,5.69,Turning,17.16,4.03,20.58
96,Fehi,Brazil,1.87,Premium,4.3,Overripe,21.18,4.5,20.36
97,Manzano,Ecuador,1.04,Processing,2.46,Green,21.92,1.23,15.26
98,Manzano,Costa Rica,3.93,Good,4.54,Ripe,19.35,0.62,23.14
99,Burro,Honduras,1.66,Processing,3.68,Green,20.59,3.2,19.01
100,Burro,Guatemala,1.53,Good,2.99,Ripe,23.1,2.29,13.67
101,Fehi,India,1.38,Processing,3.74,Turning,19.57,4.59,14.08
102,Manzano,India,1.4,Processing,2.48,Turning,19.04,4.97,27.02
103,Manzano,India,2.73,Processing,1.99,Green,21.27,1.41,19.88
104,Red Dacca,Brazil,2.29,Premium,1.85,Green,15.24,1.14,17.13
105,Plantain,Colombia,2.58,Good,6.2,Turning,23.16,0.91,20.29
106,Fehi,Colombia,3.18,Unripe,3.99,Ripe,23.44,2.67,15.89
107,Fehi,Ecuador,3.63,Processing,6.36,Overripe,19.91,4.22,27.16
108,Red Dacca,Ecuador,3.66,Processing,4.81,Ripe,16.79,1.87,15.62
109,Manzano,Guatemala,3.27,Unripe,6.61,Turning,21.15,4.12,25.89
110,Manzano,Costa Rica,2.78,Processing,4.63,Ripe,22.95,1.06,26.09
111,Burro,Ecuador,2.74,Good,4.53,Ripe,24.3,1.73,14.14
112,Manzano,Colombia,3.34,Good,2.95,Turning,23.03,1.63,26.85
113,Red Dacca,Brazil,3.85,Premium,1.06,Turning,17.34,3.9,15.89
114,Plantain,Honduras,1.02,Premium,5.69,Turning,15.65,1.83,28.15
115,Burro,Brazil,1.14,Processing,4.37,Overripe,21.11,1.62,17.91
116,Manzano,India,2.98,Premium,5.35,Ripe,23.44,2.85,15.59
117,Manzano,India,1.69,Processing,3.42,Green,24.46,4.12,23.94
118,Plantain,Costa Rica,2.18,Good,1.92,Turning,16.01,2.88,10.9
119,Plantain,Guatemala,1.62,Processing,2.34,Turning,24.69,0.62,28.03
120,Plantain,Guatemala,3.9,Processing,4.49,Ripe,22.15,1.77,15.84
121,Red Dacca,Costa Rica,3.04,Unripe,2.28,Overripe,21.89,3.83,27.41
122,Red Dacca,Costa Rica,3.05,Processing,5.59,Ripe,17.82,1.88,12.06
123,Red Dacca,Colombia,3.43,Premium,1.0,Turning,20.98,3.81,22.4
124,Burro,Brazil,3.95,Processing,3.77,Ripe,20.27,3.91,19.6
125,Burro,India,3.69,Processing,2.65,Overripe,22.7,1.54,24.93
126,Manzano,India,2.63,Good,4.83,Ripe,15.14,4.36,23.79
127,Red Dacca,Costa Rica,1.88,Processing,3.85,Green,16.94,0.88,21.53
128,Fehi,Costa Rica,1.17,Good,3.21,Turning,17.44,2.94,28.15
129,Burro,Costa Rica,3.15,Good,1.41,Overripe,20.67,3.26,20.57
130,Burro,Ecuador,2.98,Processing,3.6,Turning,21.39,1.84,18.15
131,Red Dacca,Brazil,3.03,Good,3.3,Turning,16.18,3.61,18.77
132,Red Dacca,India,3.67,Good,1.52,Ripe,19.45,4.46,29.97
133,Red Dacca,Guatemala,1.6,Good,6.24,Ripe,20.94,0.67,14.4
134,Fehi,Brazil,3.21,Good,2.27,Turning,22.62,2.02,18.37
135,Manzano,Honduras,1.23,Good,5.56,Green,23.16,0.96,27.36
136,Burro,Costa Rica,3.79,Processing,3.48,Green,22.5,1.03,14.99
137,Red Dacca,Brazil,2.57,Good,4.17,Ripe,24.38,0.7,23.76
138,Plantain,Costa Rica,3.55,Processing,5.96,Turning,22.37,4.37,24.17
139,Red Dacca,Brazil,3.78,Processing,2.01,Turning,15.04,2.67,27.92
140,Fehi,Brazil,1.62,Premium,2.64,Overripe,16.03,3.6,16.71
141,Red Dacca,Colombia,1.32,Processing,2.93,Overripe,18.59,2.66,25.99
142,Fehi,Honduras,2.93,Good,5.91,Green,21.57,3.03,17.69
143,Burro,Brazil,1.15,Processing,1.84,Overripe,16.27,3.8,12.84
144,Plantain,Brazil,1.11,Processing,5.87,Overripe,22.81,2.4,25.42
145,Manzano,India,1.8,Good,6.17,Overripe,23.49,2.23,20.75
146,Plantain,Ecuador,3.44,Premium,1.94,Ripe,23.69,4.65,29.73
147,Burro,Ecuador,1.45,Processing,3.71,Overripe,17.6,3.66,19.15
148,Manzano,Brazil,2.04,Premium,1.42,Turning,21.26,3.82,16.99
149,Red Dacca,Guatemala,1.07,Processing,5.69,Ripe,18.67,3.32,15.04
150,Red Dacca,Guatemala,3.89,Good,2.87,Ripe,23.68,2.53,25.86
151,Manzano,India,1.79,Good,2.25,Turning,17.32,2.0,14.52
152,Fehi,Colombia,1.68,Processing,5.17,Ripe,18.28,0.9,22.29
153,Burro,India,3.33,Good,4.29,Turning,15.8,4.49,20.09
154,Red Dacca,Ecuador,3.15,Premium,2.71,Ripe,19.7,1.53,28.39
155,Plantain,Costa Rica,3.12,Good,5.8,Overripe,17.56,1.04,23.08
156,Manzano,Costa Rica,2.25,Good,1.97,Ripe,22.14,4.49,23.03
157,Red Dacca,Brazil,3.21,Good,1.02,Turning,19.13,3.58,21.57
158,Fehi,Brazil,2.57,Processing,1.14,Green,20.71,3.21,24.58
159,Burro,Costa Rica,3.88,Processing,1.66,Overripe,20.04,1.97,15.95
160,Burro,India,3.94,Processing,1.65,Turning,24.18,4.76,15.94
161,Red Dacca,Brazil,3.88,Good,6.06,Ripe,20.12,1.56,15.92
162,Plantain,Honduras,1.73,Good,4.18,Green,21.02,4.82,26.38
163,Red Dacca,Ecuador,2.93,Premium,1.32,Green,23.41,2.1,19.2
164,Fehi,Brazil,2.06,Good,5.31,Green,20.06,1.87,13.18
165,Burro,India,3.4,Processing,7.0,Ripe,20.93,1.12,29.61
166,Fehi,Brazil,1.67,Good,6.58,Turning,18.14,3.98,20.26
167,Red Dacca,Ecuador,2.07,Unripe,3.26,Ripe,22.55,1.82,27.02
168,Plantain,India,2.46,Processing,4.12,Overripe,15.98,2.03,29.82
169,Red Dacca,Guatemala,2.1,Good,4.42,Turning,23.91,3.61,16.86
170,Manzano,Guatemala,1.78,Processing,6.53,Ripe,17.72,4.48,29.64
171,Red Dacca,Honduras,2.72,Unripe,2.63,Overripe,18.73,1.17,15.03
172,Red Dacca,Honduras,3.53,Good,4.54,Overripe,17.53,0.99,13.83
173,Red Dacca,Honduras,3.33,Good,1.04,Turning,24.42,1.12,25.77
174,Plantain,Colombia,2.98,Unripe,3.7,Overripe,20.7,3.4,17.7
175,Fehi,Costa Rica,2.24,Premium,1.66,Turning,15.86,1.37,11.47
176,Burro,Honduras,3.65,Good,2.55,Green,20.82,4.4,27.56
177,Manzano,Costa Rica,3.31,Processing,1.97,Ripe,24.48,2.67,17.21
178,Plantain,India,2.47,Processing,5.67,Ripe,18.94,1.38,20.56
179,Plantain,Brazil,2.73,Premium,2.96,Green,24.83,2.69,24.84
180,Manzano,Costa Rica,1.94,Processing,3.93,Green,18.88,1.64,15.36
181,Red Dacca,Colombia,1.76,Premium,3.27,Green,15.49,1.68,21.73
182,Manzano,Brazil,1.97,Processing,4.08,Turning,16.67,3.29,28.19
183,Fehi,Honduras,3.85,Processing,5.32,Green,17.49,2.87,22.01
184,Manzano,Ecuador,3.89,Premium,2.55,Overripe,15.55,0.92,18.23
185,Manzano,India,3.44,Good,2.38,Turning,20.04,2.64,24.26
186,Burro,Guatemala,1.66,Good,6.37,Ripe,21.19,2.33,27.28
187,Plantain,Brazil,2.37,Good,2.44,Turning,18.48,0.98,13.89
188,Fehi,Ecuador,3.81,Premium,5.48,Turning,24.48,3.11,21.04
189,Red Dacca,Honduras,2.6,Good,1.89,Green,21.22,2.18,24.59
190,Fehi,Costa Rica,1.45,Good,1.59,Green,18.8,0.5,10.76
191,Red Dacca,Ecuador,1.77,Processing,2.51,Overripe,19.75,1.47,11.45
192,Plantain,Colombia,3.75,Processing,2.61,Turning,19.2,4.09,14.56
193,Fehi,Honduras,1.82,Good,2.24,Ripe,17.36,1.22,10.8
194,Red Dacca,Ecuador,1.7,Good,2.98,Green,19.44,4.27,15.48
195,Plantain,Colombia,1.31,Processing,5.85,Turning,17.27,0.75,23.48
196,Fehi,India,3.54,Good,3.38,Turning,23.29,1.91,28.48
197,Burro,Brazil,2.02,Processing,3.79,Turning,18.5,2.6,13.34
198,Fehi,Honduras,1.81,Premium,4.3,Turning,22.92,2.32,21.17
199,Red Dacca,Honduras,3.21,Premium,2.41,Green,19.22,1.12,10.13
200,Fehi,Honduras,3.73,Good,2.17,Ripe,16.74,1.62,29.14
201,Manzano,Honduras,1.2,Premium,3.29,Overripe,20.34,1.67,17.96
202,Burro,Colombia,3.72,Premium,5.11,Turning,16.15,2.84,12.83
203,Plantain,Brazil,1.13,Processing,3.12,Ripe,18.64,4.2,17.95
204,Manzano,Guatemala,3.0,Processing,4.48,Overripe,24.64,3.82,16.74
205,Manzano,Colombia,2.22,Good,3.53,Green,19.98,1.73,22.14
206,Plantain,Brazil,3.12,Processing,6.07,Overripe,20.85,2.6,22.6
207,Burro,Brazil,1.31,Processing,5.11,Overripe,17.34,1.89,18.22
208,Red Dacca,India,2.34,Processing,5.38,Turning,18.86,2.38,20.62
209,Manzano,Costa Rica,1.17,Good,5.35,Green,15.13,1.94,25.16
210,Burro,India,3.84,Good,6.85,Overripe,17.48,0.78,24.92
211,Red Dacca,Honduras,2.1,Good,2.25,Overripe,15.81,3.56,27.66
212,Red Dacca,Brazil,1.46,Premium,4.69,Overripe,21.59,3.89,28.78
213,Burro,Ecuador,1.83,Processing,6.8,Ripe,24.02,1.79,21.98
214,Fehi,Brazil,2.23,Processing,3.52,Turning,20.26,1.85,11.55
215,Manzano,Brazil,2.46,Good,2.31,Overripe,24.12,4.02,29.34
216,Plantain,Ecuador,1.44,Good,5.42,Ripe,23.29,3.56,23.64
217,Fehi,Colombia,1.9,Good,4.5,Overripe,23.75,0.8,15.65
218,Plantain,Ecuador,2.42,Good,4.09,Turning,15.64,4.56,25.0
219,Burro,Honduras,1.86,Processing,6.32,Turning,17.81,1.78,22.6
220,Fehi,Colombia,3.07,Processing,3.08,Turning,22.5,2.44,13.98
221,Burro,Colombia,3.14,Premium,2.98,Turning,19.34,4.8,15.3
222,Burro,Honduras,2.69,Good,5.51,Ripe,24.9,2.68,16.11
223,Plantain,Colombia,3.62,Good,1.02,Green,23.04,1.58,27.87
224,Burro,Honduras,1.35,Good,6.98,Turning,16.6,2.25,24.52
225,Plantain,Colombia,2.2,Good,4.2,Green,15.95,1.77,15.43
226,Red Dacca,Costa Rica,1.32,Processing,4.57,Overripe,16.98,2.38,19.83
227,Fehi,Ecuador,1.38,Good,6.48,Green,20.52,0.59,22.42
228,Fehi,Costa Rica,3.91,Good,6.01,Overripe,15.05,3.62,20.3
229,Manzano,India,2.16,Good,5.71,Turning,23.78,1.99,14.72
230,Plantain,Brazil,2.01,Premium,5.16,Ripe,24.21,1.48,26.31
231,Plantain,Brazil,1.76,Good,1.69,Overripe,20.6,2.36,20.98
232,Burro,Guatemala,2.67,Good,1.98,Turning,23.26,0.74,23.62
233,Red Dacca,Costa Rica,3.29,Premium,3.17,Overripe,17.91,2.44,15.47
234,Fehi,Guatemala,1.13,Processing,5.72,Overripe,16.65,2.34,27.18
235,Burro,Ecuador,1.42,Processing,2.01,Overripe,23.62,2.84,28.41
236,Manzano,India,1.39,Processing,2.62,Turning,21.96,4.32,26.26
237,Manzano,Ecuador,1.87,Processing,5.03,Green,24.63,1.23,25.08
238,Burro,Brazil,2.17,Premium,3.27,Ripe,21.16,0.66,19.35
239,Plantain,Brazil,2.34,Good,5.15,Ripe,22.96,3.69,20.16
240,Red Dacca,Costa Rica,3.6,Processing,4.19,Green,19.24,2.36,10.46
241,Burro,Honduras,2.77,Premium,2.59,Turning,15.9,2.54,19.34
242,Burro,Ecuador,1.33,Good,5.76,Overripe,24.39,1.14,19.32
243,Manzano,Colombia,3.15,Unripe,2.8,Green,15.47,4.94,20.73
244,Burro,India,1.48,Processing,3.83,Green,20.45,0.69,11.51
245,Plantain,Honduras,1.34,Good,4.41,Overripe,18.42,1.8,13.21
246,Burro,Ecuador,2.33,Good,4.08,Green,18.51,4.49,13.86
247,Plantain,Honduras,3.85,Processing,5.48,Turning,21.67,1.4,24.69
248,Burro,Brazil,1.28,Processing,2.73,Ripe,19.38,1.02,11.2
249,Fehi,Colombia,1.7,Premium,3.86,Green,21.41,1.35,27.78
250,Burro,Honduras,2.21,Good,3.04,Turning,22.86,2.78,27.25
251,Manzano,India,2.14,Good,3.31,Turning,19.88,0.64,29.7
252,Red Dacca,Costa Rica,3.0,Good,1.7,Ripe,16.94,3.31,18.54
253,Manzano,Honduras,1.5,Good,4.99,Ripe,22.24,2.13,14.4
254,Burro,Costa Rica,1.07,Good,5.86,Turning,19.28,2.19,27.5
255,Red Dacca,Guatemala,2.04,Good,3.46,Ripe,17.17,0.53,14.29
256,Manzano,Colombia,1.77,Processing,4.02,Overripe,19.22,1.78,10.7
257,Burro,Ecuador,2.68,Good,4.79,Turning,16.37,2.06,23.63
258,Burro,Colombia,1.59,Processing,1.94,Turning,20.45,1.47,25.58
259,Burro,Honduras,2.22,Processing,2.23,Green,18.69,2.97,22.39
260,Fehi,Guatemala,1.81,Processing,1.4,Turning,20.72,1.25,17.15
261,Fehi,Ecuador,1.3,Good,5.19,Turning,19.31,2.28,27.15
262,Manzano,Guatemala,2.44,Processing,4.55,Ripe,21.84,3.56,13.17
263,Manzano,Honduras,1.02,Processing,4.43,Ripe,20.22,2.97,14.23
264,Plantain,Brazil,2.79,Processing,1.52,Ripe,15.96,2.11,24.95
265,Plantain,Honduras,1.18,Processing,5.03,Overripe,23.1,1.83,29.04
266,Plantain,Guatemala,1.79,Good,2.47,Ripe,18.89,4.66,24.9
267,Red Dacca,Brazil,2.94,Premium,6.97,Turning,16.82,1.93,24.38
268,Burro,Brazil,1.97,Good,1.23,Ripe,23.41,1.8,14.29
269,Red Dacca,Honduras,2.61,Processing,5.98,Overripe,16.7,3.82,13.61
270,Plantain,Honduras,3.95,Processing,6.17,Green,16.07,0.8,24.96
271,Manzano,Honduras,1.19,Processing,5.26,Ripe,15.48,0.97,11.3
272,Red Dacca,Brazil,3.64,Processing,1.35,Ripe,22.72,1.54,17.55
273,Fehi,Costa Rica,3.98,Premium,6.1,Overripe,18.83,2.88,23.45
274,Red Dacca,Ecuador,2.32,Processing,5.93,Ripe,21.09,1.06,30.0
275,Red Dacca,Ecuador,2.37,Premium,1.37,Ripe,23.56,2.91,16.83
276,Red Dacca,Honduras,2.77,Premium,4.43,Turning,22.96,0.83,12.21
277,Manzano,Colombia,2.04,Processing,1.43,Turning,21.07,1.83,18.71
278,Red Dacca,Honduras,2.88,Processing,5.9,Overripe,21.21,0.56,19.86
279,Fehi,Brazil,3.13,Processing,2.65,Ripe,17.51,3.73,15.0
280,Red Dacca,Costa Rica,3.0,Premium,3.89,Ripe,21.82,2.41,27.82
281,Burro,Ecuador,3.32,Good,2.61,Ripe,16.36,3.56,28.96
282,Manzano,Guatemala,1.64,Good,6.97,Ripe,20.97,3.23,11.17
283,Fehi,Ecuador,1.53,Good,1.71,Overripe,21.18,3.75,13.94
284,Manzano,Guatemala,2.28,Premium,5.13,Turning,17.33,3.84,14.6
285,Plantain,Ecuador,2.88,Good,4.14,Turning,16.81,0.55,15.48
286,Manzano,Colombia,1.74,Processing,4.7,Overripe,17.93,3.15,12.93
287,Red Dacca,Guatemala,3.62,Good,4.08,Green,17.41,2.96,11.32
288,Red Dacca,Colombia,3.31,Good,6.19,Green,15.59,3.15,21.4
289,Manzano,Guatemala,2.42,Good,3.82,Overripe,23.05,4.86,26.67
290,Red Dacca,Colombia,1.15,Good,5.43,Overripe,24.31,2.2,22.64
291,Fehi,Ecuador,1.63,Processing,4.46,Green,19.25,3.43,26.86
292,Burro,Brazil,2.87,Processing,6.66,Green,16.78,1.52,25.78
293,Red Dacca,Guatemala,1.75,Processing,5.86,Green,17.82,4.45,10.62
294,Plantain,Ecuador,2.99,Premium,1.71,Turning,21.96,2.18,27.09
295,Red Dacca,Colombia,2.48,Good,3.84,Turning,16.42,2.01,11.51
296,Red Dacca,India,3.26,Premium,2.08,Ripe,15.53,2.95,21.73
297,Red Dacca,Colombia,3.44,Processing,2.98,Overripe,24.78,0.78,11.78
298,Fehi,Colombia,1.51,Premium,3.87,Green,23.95,1.96,28.62
299,Red Dacca,Guatemala,2.23,Premium,2.55,Ripe,19.94,1.85,18.95
300,Manzano,Ecuador,3.86,Processing,4.99,Ripe,22.69,1.88,20.2
301,Plantain,India,1.29,Processing,4.47,Turning,17.13,3.98,29.0
302,Burro,India,3.16,Good,4.59,Green,23.87,4.97,13.33
303,Burro,Honduras,3.9,Good,4.62,Turning,22.39,5.0,10.67
304,Fehi,Colombia,3.46,Unripe,2.59,Overripe,24.47,1.92,16.74
305,Burro,India,1.38,Premium,5.53,Overripe,20.26,1.2,25.76
306,Burro,Honduras,3.14,Good,5.16,Green,22.25,4.13,22.02
307,Fehi,Guatemala,2.74,Processing,1.41,Turning,20.59,3.41,12.81
308,Manzano,Brazil,3.12,Good,4.49,Ripe,24.88,3.45,13.6
309,Red Dacca,India,1.43,Good,4.89,Turning,15.7,2.45,26.49
310,Fehi,Guatemala,1.83,Processing,2.71,Green,17.88,2.81,27.26
311,Red Dacca,Brazil,3.26,Good,6.69,Ripe,20.18,2.56,18.2
312,Burro,Ecuador,3.71,Premium,5.58,Ripe,19.73,0.91,25.98
313,Manzano,Ecuador,1.95,Premium,1.97,Ripe,16.69,4.42,26.44
314,Red Dacca,Costa Rica,2.11,Processing,3.82,Ripe,15.14,3.0,17.26
315,Plantain,Guatemala,1.49,Good,3.2,Ripe,20.25,3.46,26.55
316,Manzano,Honduras,1.15,Premium,5.66,Overripe,16.14,4.78,13.1
317,Red Dacca,Colombia,2.14,Good,2.5,Turning,24.89,0.8,27.58
318,Plantain,Costa Rica,2.02,Good,5.89,Turning,18.84,4.0,11.19
319,Burro,Ecuador,2.89,Premium,4.23,Overripe,16.42,4.78,13.01
320,Manzano,Colombia,2.02,Processing,4.04,Turning,19.03,2.2,28.54
321,Plantain,Brazil,1.96,Good,1.5,Turning,20.6,1.32,13.84
322,Burro,Brazil,1.31,Good,1.92,Turning,15.93,0.82,15.74
323,Manzano,Guatemala,2.27,Good,2.93,Ripe,19.54,4.85,25.22
324,Red Dacca,Brazil,2.2,Good,3.09,Turning,24.73,2.04,17.46
325,Plantain,Honduras,3.84,Good,6.55,Ripe,21.21,2.69,10.97
326,Fehi,India,3.56,Good,6.71,Ripe,24.44,2.55,19.33
327,Manzano,Honduras,1.71,Premium,4.65,Green,18.9,3.82,14.15
328,Fehi,Costa Rica,3.68,Good,5.89,Overripe,16.53,0.86,24.92
329,Manzano,Costa Rica,3.42,Good,6.4,Overripe,18.93,4.07,13.58
330,Burro,Guatemala,2.95,Premium,5.13,Turning,20.27,3.4,12.22
331,Red Dacca,Costa Rica,3.62,Good,3.7,Ripe,19.4,1.9,18.04
332,Red Dacca,India,1.73,Processing,2.43,Turning,16.94,4.63,17.86
333,Red Dacca,Costa Rica,3.54,Good,2.71,Ripe,16.26,3.98,22.4
334,Red Dacca,India,2.43,Premium,6.82,Overripe,22.66,4.74,22.43
335,Burro,Honduras,2.12,Processing,2.19,Overripe,22.25,2.61,29.54
336,Fehi,Honduras,1.98,Good,1.37,Turning,22.51,1.87,18.82
337,Fehi,Colombia,2.3,Good,5.28,Green,22.45,3.97,12.39
338,Burro,India,3.77,Processing,6.33,Ripe,17.16,2.19,24.74
339,Red Dacca,Costa Rica,3.03,Good,4.01,Overripe,15.79,3.35,17.08
340,Fehi,Colombia,3.75,Good,6.39,Green,21.3,3.91,16.02
341,Burro,Honduras,3.96,Processing,6.4,Ripe,15.7,0.77,22.78
342,Burro,Guatemala,2.15,Good,5.55,Overripe,16.76,0.93,19.88
343,Fehi,Colombia,2.27,Good,5.26,Turning,16.36,1.53,27.57
